,candidateId,market,ministry,hospital,unit,room,flexId,blockName,releaseDays,type,dow,wom1,wom2,wom3,wom4,wom5,start_time,end_time,name,start_date,end_date,state,blockDate,releaseDate,releaseStatus,autorelease,manualRelease
459,4213483-246858103,TENNESSEE,TNNAS,592210,STM ST OR,STM ST OR 07,663019,OR Urology STM ST OR,0.0,,1,1,2.0,3.0,4.0,5.0,2023-05-26T07:30:00.000Z,2023-05-26T15:30:00.000Z,,2022-08-28T00:00:00.000Z,2100-12-31T00:00:00.000Z,ACTIVE,2023-07-17,2023-07-17,False,False,False
524,4263902-266572587,TENNESSEE,TNNAS,592210,STM ST OR,STM ST OR 10,687017,"OR Rosen DO, Marc STM ST OR",0.0,,1,1,3.0,5.0,-1.0,-1.0,2023-05-26T13:00:00.000Z,2023-05-26T15:30:00.000Z,,2023-03-24T00:00:00.000Z,2100-12-31T00:00:00.000Z,ACTIVE,2023-07-17,2023-07-17,False,False,False
626,4271379-272045078,TENNESSEE,TNNAS,592210,STM ST OR,STM ST OR 11,697009,"OR Ryan, Patrick C STM ST OR",2.0,,1,1,3.0,-1.0,-1.0,-1.0,2023-05-26T07:30:00.000Z,2023-05-26T14:00:00.000Z,,2023-05-15T00:00:00.000Z,2100-12-31T00:00:00.000Z,ACTIVE,2023-07-17,2023-07-15,False,False,False
437,4269979-270448852,TENNESSEE,TNNAS,592210,STM ST OR,STM ST OR 18,687021,"OR Suryadevara MD, Sree STM ST OR",4.0,,1,1,2.0,3.0,4.0,5.0,2023-05-26T07:30:00.000Z,2023-05-26T17:00:00.000Z,,2023-05-01T00:00:00.000Z,2100-12-31T00:00:00.000Z,ACTIVE,2023-07-17,2023-07-13,False,False,False
534,4264017-266752045,TENNESSEE,TNNAS,592210,STM ST OR,STM ST OR Hybrid,112065,OR Vascular 1 BH,4.0,,1.0,1.0,2.0,3.0,4.0,5.0,2023-05-26T07:30:00.000Z,2023-05-26T15:30:00.000Z,,2023-03-25T00:00:00.000Z,2100-12-31T00:00:00.000Z,ACTIVE,2023-07-17,2023-07-13,False,False,False
122,4263671-266176844,TENNESSEE,TNNAS,1137984,MT OR,MT OR 01,125005,OR MMC GEN MT,5.0,,1,1,2.0,3.0,4.0,5.0,2023-05-26T07:15:00.000Z,2023-05-26T15:00:00.000Z,,2023-03-22T00:00:00.000Z,2100-12-31T00:00:00.000Z,ACTIVE,2023-07-17,2023-07-12,False,False,False
148,4263683-266180748,TENNESSEE,TNNAS,1137984,MT OR,MT OR 02,199005,"OR Rich, Stephen A MT",5.0,,1.0,1.0,3.0,-1.0,-1.0,-1.0,2023-05-26T07:15:00.000Z,2023-05-26T15:00:00.000Z,,2023-03-22T00:00:00.000Z,2100-12-31T00:00:00.000Z,ACTIVE,2023-07-17,2023-07-12,False,False,False
82,4181485-234493726,TENNESSEE,TNNAS,1137984,MT OR,MT OR 03,326001,"OR Gowda, Ramesh MT",3.0,,1,1,2.0,3.0,4.0,5.0,2023-05-26T07:15:00.000Z,2023-05-26T15:00:00.000Z,,2022-01-01T00:00:00.000Z,2100-12-31T00:00:00.000Z,ACTIVE,2023-07-17,2023-07-14,False,False,False
264,4268050-268949516,TENNESSEE,TNNAS,1137984,MT OR,MT OR 05,675009,OR Cardiac STR,0.0,,1,1,2.0,3.0,4.0,5.0,2023-05-26T07:15:00.000Z,2023-05-26T17:00:00.000Z,,2023-05-01T00:00:00.000Z,2100-12-31T00:00:00.000Z,ACTIVE,2023-07-17,2023-07-17,False,False,False
262,4268366-269166337,TENNESSEE,TNNAS,1137984,MT OR,MT OR 06,675009,OR Cardiac STR,0.0,,1,1,2.0,3.0,4.0,5.0,2023-05-26T07:15:00.000Z,2023-05-26T15:00:00.000Z,,2023-05-01T00:00:00.000Z,2100-12-31T00:00:00.000Z,ACTIVE,2023-07-17,2023-07-17,False,False,False
324,4269835-270240107,TENNESSEE,TNNAS,1137984,MT OR,MT OR 09,683009,OR ORTHO TRAUMA STR,3.0,,1,1,2.0,3.0,4.0,5.0,2023-05-26T07:15:00.000Z,2023-05-26T19:00:00.000Z,,2023-05-01T00:00:00.000Z,2100-12-31T00:00:00.000Z,ACTIVE,2023-07-17,2023-07-14,False,False,False
31,4263713-266189423,TENNESSEE,TNNAS,1137984,MT OR,MT OR 14,591011,OR Robot MMC Gyn MT,5.0,,1,1,3.0,-1.0,-1.0,-1.0,2023-05-26T07:15:00.000Z,2023-05-26T15:00:00.000Z,,2023-03-22T00:00:00.000Z,2100-12-31T00:00:00.000Z,ACTIVE,2023-07-17,2023-07-12,False,False,False
568,4267944-268669820,TENNESSEE,TNNAS,592210,STM ST OR,STM ST OR 06,687025,"OR Frexes-Steed, Maria STM ST OR",4.0,,2,1,3.0,-1.0,-1.0,-1.0,2023-05-26T07:30:00.000Z,2023-05-26T12:00:00.000Z,,2023-04-17T00:00:00.000Z,2100-12-31T00:00:00.000Z,ACTIVE,2023-07-18,2023-07-14,False,False,False
460,4213483-246858103,TENNESSEE,TNNAS,592210,STM ST OR,STM ST OR 07,663019,OR Urology STM ST OR,0.0,,2.0,1.0,2.0,3.0,4.0,5.0,2023-05-26T07:30:00.000Z,2023-05-26T15:30:00.000Z,,2022-08-28T00:00:00.000Z,2100-12-31T00:00:00.000Z,ACTIVE,2023-07-18,2023-07-18,False,False,False
549,4264013-266721161,TENNESSEE,TNNAS,592210,STM ST OR,STM ST OR 10,687017,"OR Rosen DO, Marc STM ST OR",0.0,,2.0,1.0,2.0,3.0,4.0,5.0,2023-05-26T07:30:00.000Z,2023-05-26T15:30:00.000Z,,2023-03-25T00:00:00.000Z,2100-12-31T00:00:00.000Z,ACTIVE,2023-07-18,2023-07-18,False,False,False
581,4270499-270656936,TENNESSEE,TNNAS,592210,STM ST OR,STM ST OR 15,693009,OR ROBOT ALL STM ST OR,0.0,,2,1,2.0,3.0,4.0,5.0,2023-05-26T12:00:00.000Z,2023-05-26T17:00:00.000Z,,2023-05-02T00:00:00.000Z,2100-12-31T00:00:00.000Z,ACTIVE,2023-07-18,2023-07-18,False,False,False
385,4269892-270431784,TENNESSEE,TNNAS,592210,STM ST OR,STM ST OR 17,479003,OR STMP GYNONC STM,4.0,,2.0,3.0,-1.0,-1.0,-1.0,-1.0,2023-05-26T07:30:00.000Z,2023-05-26T17:00:00.000Z,,2023-05-02T00:00:00.000Z,2100-12-31T00:00:00.000Z,ACTIVE,2023-07-18,2023-07-14,False,False,False
329,4269901-270432248,TENNESSEE,TNNAS,592210,STM ST OR,STM ST OR 18,687021,"OR Suryadevara MD, Sree STM ST OR",4.0,,2.0,3.0,-1.0,-1.0,-1.0,-1.0,2023-05-26T07:30:00.000Z,2023-05-26T17:00:00.000Z,,2023-05-02T00:00:00.000Z,2100-12-31T00:00:00.000Z,ACTIVE,2023-07-18,2023-07-14,False,False,False
543,4264022-266754603,TENNESSEE,TNNAS,592210,STM ST OR,STM ST OR Hybrid,112065,OR Vascular 1 BH,4.0,,2,1,2.0,3.0,4.0,5.0,2023-05-26T07:30:00.000Z,2023-05-26T15:30:00.000Z,,2023-03-25T00:00:00.000Z,2100-12-31T00:00:00.000Z,ACTIVE,2023-07-18,2023-07-14,False,False,False
260,4268436-269178687,TENNESSEE,TNNAS,1137984,MT OR,MT OR 01,438001,"OR Houck MD, Ward V MT OR",1.0,,2,1,2.0,3.0,4.0,5.0,2023-05-26T07:15:00.000Z,2023-05-26T15:00:00.000Z,,2023-05-01T00:00:00.000Z,2100-12-31T00:00:00.000Z,ACTIVE,2023-07-18,2023-07-17,False,False,False
250,4268446-269180538,TENNESSEE,TNNAS,1137984,MT OR,MT OR 02,123005,"OR Hazley, Andrew MT",5.0,,2,1,2.0,3.0,4.0,5.0,2023-05-26T07:15:00.000Z,2023-05-26T13:00:00.000Z,,2023-05-01T00:00:00.000Z,2100-12-31T00:00:00.000Z,ACTIVE,2023-07-18,2023-07-13,False,False,False
248,4268456-269181222,TENNESSEE,TNNAS,1137984,MT OR,MT OR 03,647009,OR MSS VASCULAR,1.0,,2.0,1.0,2.0,3.0,4.0,5.0,2023-05-26T07:15:00.000Z,2023-05-26T15:00:00.000Z,,2023-05-01T00:00:00.000Z,2100-12-31T00:00:00.000Z,ACTIVE,2023-07-18,2023-07-17,False,False,False
266,4268542-269318820,TENNESSEE,TNNAS,1137984,MT OR,MT OR 04,123003,"OR Akins, Mark MT",5.0,,2,1,2.0,3.0,4.0,5.0,2023-05-26T07:15:00.000Z,2023-05-26T15:00:00.000Z,,2023-05-02T00:00:00.000Z,2100-12-31T00:00:00.000Z,ACTIVE,2023-07-18,2023-07-13,False,False,False
251,4268054-268949705,TENNESSEE,TNNAS,1137984,MT OR,MT OR 05,675009,OR Cardiac STR,0.0,,2,1,2.0,3.0,4.0,5.0,2023-05-26T07:15:00.000Z,2023-05-26T17:00:00.000Z,,2023-05-02T00:00:00.000Z,2100-12-31T00:00:00.000Z,ACTIVE,2023-07-18,2023-07-18,False,False,False
263,4268370-269166424,TENNESSEE,TNNAS,1137984,MT OR,MT OR 06,675009,OR Cardiac STR,0.0,,2,1,2.0,3.0,4.0,5.0,2023-05-26T07:15:00.000Z,2023-05-26T15:00:00.000Z,,2023-05-02T00:00:00.000Z,2100-12-31T00:00:00.000Z,ACTIVE,2023-07-18,2023-07-18,False,False,False
269,4268593-269350921,TENNESSEE,TNNAS,1137984,MT OR,MT OR 09,523001,"OR Manwaring, Mark MT OR",5.0,,2,1,2.0,3.0,4.0,5.0,2023-05-26T07:15:00.000Z,2023-05-26T15:00:00.000Z,,2023-05-02T00:00:00.000Z,2100-12-31T00:00:00.000Z,ACTIVE,2023-07-18,2023-07-13,False,False,False
316,4268669-269389240,TENNESSEE,TNNAS,1137984,MT OR,MT OR 14,591011,OR Robot MMC Gyn MT,5.0,,2,1,2.0,3.0,4.0,5.0,2023-05-26T07:15:00.000Z,2023-05-26T15:00:00.000Z,,2023-05-02T00:00:00.000Z,2100-12-31T00:00:00.000Z,ACTIVE,2023-07-18,2023-07-13,False,False,False
281,4268679-269397689,TENNESSEE,TNNAS,1137984,MT OR,MT OR 15,523001,OR Robot Manwaring MT,5.0,,2,3,-1.0,-1.0,-1.0,-1.0,2023-05-26T07:15:00.000Z,2023-05-26T15:00:00.000Z,,2023-05-02T00:00:00.000Z,2100-12-31T00:00:00.000Z,ACTIVE,2023-07-18,2023-07-13,False,False,False
486,4211593-245706975,TENNESSEE,TNNAS,592210,STM ST OR,STM ST OR 07,663019,OR Urology STM ST OR,0.0,,3.0,1.0,3.0,5.0,-1.0,-1.0,2023-05-26T07:30:00.000Z,2023-05-26T15:30:00.000Z,,2022-08-30T00:00:00.000Z,2100-12-31T00:00:00.000Z,ACTIVE,2023-07-19,2023-07-19,False,False,False
566,4267838-268485654,TENNESSEE,TNNAS,592210,STM ST OR,STM ST OR 10,687017,"OR Rosen DO, Marc STM ST OR",0.0,,3,1,3.0,5.0,-1.0,-1.0,2023-05-26T07:30:00.000Z,2023-05-26T15:30:00.000Z,,2023-05-01T00:00:00.000Z,2100-12-31T00:00:00.000Z,ACTIVE,2023-07-19,2023-07-19,False,False,False
567,4267956-268673447,TENNESSEE,TNNAS,592210,STM ST OR,STM ST OR 11,687045,"OR Mascarenhas, Christopher STM ST OR",2.0,,3,3,-1.0,-1.0,-1.0,-1.0,2023-05-26T07:30:00.000Z,2023-05-26T12:00:00.000Z,,2023-05-01T00:00:00.000Z,2100-12-31T00:00:00.000Z,ACTIVE,2023-07-19,2023-07-17,False,False,False
343,4269921-270432773,TENNESSEE,TNNAS,592210,STM ST OR,STM ST OR 15,689009,"OR Jayram, Gautam STM ST OR",2.0,,3.0,3.0,-1.0,-1.0,-1.0,-1.0,2023-05-26T07:30:00.000Z,2023-05-26T17:00:00.000Z,,2023-05-08T00:00:00.000Z,2100-12-31T00:00:00.000Z,ACTIVE,2023-07-19,2023-07-17,False,False,False
536,4264027-266756424,TENNESSEE,TNNAS,592210,STM ST OR,STM ST OR Hybrid,112065,OR Vascular 1 BH,2.0,,3.0,1.0,3.0,5.0,-1.0,-1.0,2023-05-26T07:30:00.000Z,2023-05-26T15:30:00.000Z,,2023-03-25T00:00:00.000Z,2100-12-31T00:00:00.000Z,ACTIVE,2023-07-19,2023-07-17,False,False,False
308,4268870-269459539,TENNESSEE,TNNAS,1137984,MT OR,MT Cysto,125007,OR MTUS MT,7.0,,3,1,2.0,3.0,4.0,5.0,2023-05-26T07:15:00.000Z,2023-05-26T15:00:00.000Z,,2023-05-02T00:00:00.000Z,2100-12-31T00:00:00.000Z,ACTIVE,2023-07-19,2023-07-12,False,False,False
287,4268814-269440711,TENNESSEE,TNNAS,1137984,MT OR,MT OR 02,675013,"OR Rampp, Nadine STR",5.0,,3.0,1.0,2.0,3.0,4.0,5.0,2023-05-30T07:15:00.000Z,2023-05-30T17:00:00.000Z,,2023-05-31T00:00:00.000Z,2100-12-31T00:00:00.000Z,ACTIVE,2023-07-19,2023-07-14,False,False,False
289,4268845-269452707,TENNESSEE,TNNAS,1137984,MT OR,MT OR 03,631021,OR Bensley/Gowda MT,1.0,,3,1,2.0,3.0,4.0,5.0,2023-05-26T07:45:00.000Z,2023-05-26T15:45:00.000Z,,2023-05-02T00:00:00.000Z,2100-12-31T00:00:00.000Z,ACTIVE,2023-07-19,2023-07-18,False,False,False
304,4268855-269458343,TENNESSEE,TNNAS,1137984,MT OR,MT OR 04,523003,"OR Keith, Lindsay MT OR",5.0,,3,1,2.0,3.0,4.0,5.0,2023-05-26T07:15:00.000Z,2023-05-26T15:00:00.000Z,,2023-05-02T00:00:00.000Z,2100-12-31T00:00:00.000Z,ACTIVE,2023-07-19,2023-07-14,False,False,False
249,4268062-268951297,TENNESSEE,TNNAS,1137984,MT OR,MT OR 05,675009,OR Cardiac STR,0.0,,3,1,2.0,3.0,4.0,5.0,2023-05-26T07:15:00.000Z,2023-05-26T17:00:00.000Z,,2023-05-02T00:00:00.000Z,2100-12-31T00:00:00.000Z,ACTIVE,2023-07-19,2023-07-19,False,False,False
265,4268374-269166484,TENNESSEE,TNNAS,1137984,MT OR,MT OR 06,675009,OR Cardiac STR,0.0,,3,1,2.0,3.0,4.0,5.0,2023-05-26T07:15:00.000Z,2023-05-26T15:00:00.000Z,,2023-05-02T00:00:00.000Z,2100-12-31T00:00:00.000Z,ACTIVE,2023-07-19,2023-07-19,False,False,False
237,4255620-262761847,TENNESSEE,TNNAS,1137984,MT OR,MT OR 08,647011,"OR Merrell, Tracy A STR",7.0,,3,1,2.0,3.0,4.0,5.0,2023-05-26T13:00:00.000Z,2023-05-26T17:00:00.000Z,,2023-02-20T00:00:00.000Z,2100-12-31T00:00:00.000Z,ACTIVE,2023-07-19,2023-07-12,False,False,False
303,4268875-269459634,TENNESSEE,TNNAS,1137984,MT OR,MT OR 08,125001,OR GYN 1 MT,7.0,,3,1,2.0,3.0,4.0,5.0,2023-05-26T07:15:00.000Z,2023-05-26T13:00:00.000Z,,2023-05-02T00:00:00.000Z,2100-12-31T00:00:00.000Z,ACTIVE,2023-07-19,2023-07-12,False,False,False
315,4268885-269460001,TENNESSEE,TNNAS,1137984,MT OR,MT OR 09,104005,OR ORTHO 1 MT,0.0,,3,1,2.0,3.0,4.0,5.0,2023-05-26T07:15:00.000Z,2023-05-26T15:00:00.000Z,,2023-05-02T00:00:00.000Z,2100-12-31T00:00:00.000Z,ACTIVE,2023-07-19,2023-07-19,False,False,False
284,4268893-269460447,TENNESSEE,TNNAS,1137984,MT OR,MT OR 10,611009,"OR Lien, George MT",7.0,,3,1,2.0,3.0,4.0,5.0,2023-05-26T07:15:00.000Z,2023-05-26T17:45:00.000Z,,2023-05-02T00:00:00.000Z,2100-12-31T00:00:00.000Z,ACTIVE,2023-07-19,2023-07-12,False,False,False
312,4268923-269463484,TENNESSEE,TNNAS,1137984,MT OR,MT OR 14,197007,OR Robot Urology MT,5.0,,3,1,2.0,3.0,4.0,5.0,2023-05-26T07:15:00.000Z,2023-05-26T15:00:00.000Z,,2023-05-02T00:00:00.000Z,2100-12-31T00:00:00.000Z,ACTIVE,2023-07-19,2023-07-14,False,False,False
206,4261913-265811674,TENNESSEE,TNNAS,1137984,MT OR,MT OR 15,199005,OR Robot Rich MT,5.0,,3.0,1.0,3.0,5.0,-1.0,-1.0,2023-05-26T07:15:00.000Z,2023-05-26T15:00:00.000Z,,2023-03-17T00:00:00.000Z,2100-12-31T00:00:00.000Z,ACTIVE,2023-07-19,2023-07-14,False,False,False
177,4256315-263049444,TENNESSEE,TNNAS,1137984,MT OR,MT OR 16,675017,"OR Eli, Ilyas M STR",7.0,,3,1,2.0,3.0,5.0,-1.0,2023-05-26T07:15:00.000Z,2023-05-26T17:00:00.000Z,,2023-02-20T00:00:00.000Z,2100-12-31T00:00:00.000Z,ACTIVE,2023-07-19,2023-07-12,False,False,False
491,4211595-245706977,TENNESSEE,TNNAS,592210,STM ST OR,STM ST OR 07,663019,OR Urology STM ST OR,0.0,,4,1,2.0,3.0,4.0,5.0,2023-05-26T07:30:00.000Z,2023-05-26T15:30:00.000Z,,2022-08-27T00:00:00.000Z,2100-12-31T00:00:00.000Z,ACTIVE,2023-07-20,2023-07-20,False,False,False
559,4264087-266791147,TENNESSEE,TNNAS,592210,STM ST OR,STM ST OR 10,687017,"OR Rosen DO, Marc STM ST OR",0.0,,4,1,2.0,3.0,4.0,5.0,2023-05-26T07:30:00.000Z,2023-05-26T17:00:00.000Z,,2023-03-26T00:00:00.000Z,2100-12-31T00:00:00.000Z,ACTIVE,2023-07-20,2023-07-20,False,False,False
379,4270186-270543936,TENNESSEE,TNNAS,592210,STM ST OR,STM ST OR 17,479003,OR STMP GYNONC STM,2.0,,4,1,2.0,3.0,4.0,5.0,2023-05-26T07:30:00.000Z,2023-05-26T12:00:00.000Z,,2023-05-02T00:00:00.000Z,2100-12-31T00:00:00.000Z,ACTIVE,2023-07-20,2023-07-18,False,False,False
415,4270465-270572465,TENNESSEE,TNNAS,592210,STM ST OR,STM ST OR 17,689015,"OR Williams, Laura STM ST OR",2.0,,4.0,3.0,-1.0,-1.0,-1.0,-1.0,2023-05-26T12:00:00.000Z,2023-05-26T15:00:00.000Z,,2023-05-02T00:00:00.000Z,2100-12-31T00:00:00.000Z,ACTIVE,2023-07-20,2023-07-18,False,False,False
